Nº RNC	DESENHO	MP	REVISÃO	POS	CV	EQUIPAMENTO	CONJUNTO	MODELO	DESCRIÇÃO DO DESENHO	QUANTIDADE	CLIENTE	MATERIAL	ORDEM DE COMPRA	RESPONSÁVEL	INSPETOR	DATA EMISSÃO	ÁREA RESPONSÁVEL	SETOR	DESCRIÇÃO DA RNC	INSTRUÇÃO PARA RETRABALHO	CAUSA DA RNC	JUSTIFICATIVA	VALOR
30292	PKT6RM0202	6	1		021.688	Enroladeira	Braços primários		Braço primário LC	01	Klabin T.B.	SAE1020		Cláudio Brandão	Ronaldo	10-Jan-23	Engenharia		Acrescentado detalhes de dobra.	Conforme revisão.	Erro.		R$ 100.00
30293	PKT1GM1431		4		021.869	Rosca transportadora	Roscas trasnportadoras		Reforma da rosca	01	Klabin T.B.			Matheus de Souza Silva	Ronaldo	10-Jan-23	Engenharia		Correção no diâmetro de 500 para 485mm apartir da medida de 3600.	Conforme revisão.	Erro.		R$ 100.00
30294	P22EAM7400	01	02		010.202	Desenroladeira	Montagem		Engate rápido	01	Papelão União			Cláudio Brandão	Ronaldo	11-Jan-23	Engenharia		Acrescentado posição 32.	Conforme revisão.	Erro.		R$ 100.00
30295	P82MAM5905	2	1		022.028	Setor secagem	Mancal 22315		Tampa externa	15	Citroplast	EM-GJL-200		Fundição Campos Gerais	Ronaldo	11-Jan-23	Terceiros		Falha de fundição.	Nova.	Peças ficaram deslocadas.		R$ 592.60
30297	P73GAM2820	3	1		001.947	Ampliação MP3	Monotela		Raspa fixa inferior	02	Valinhos			Vagner da Silva	Ronaldo	11-Jan-23	Engenharia		Acréscimo da posição 38.	Conforme revisão.	Erro.		R$ 100.00
30298	P73GAM2830	3	1		001.947	Ampliação MP3	Monotela pós secagem		Raspa oscilante inferior	01	Valinhos			Vagner da Silva	Ronaldo	11-Jan-23	Engenharia		Acréscimo da posição 38.	Conforme revisão.	Erro.		R$ 100.00
30299	P73GAM2720	3	1		001.947	Ampliação MP3	Monotela		Raspa fixa superior	02	Valinhos			Vagner da Silva	Ronaldo	11-Jan-23	Engenharia		Acréscimp da posição 39.	Conforme revisão.	Erro.		R$ 100.00
30300	P73GAM2700	3	2		001.947	Ampliação MP3	Monotela		Raspa oscilante superior	01	Valinhos			Vagner da Silva	Ronaldo	11-Jan-23	Engenharia		Acréscimo da posição 39.	Conforme revisão.	Erro.		R$ 100.00
30301	P22EAM7501		1		021.889	Desenroladeira	Engate rápido		Prendedor 1	01	Smurfit Kappa	SAE1020		Ricardo Mauda	Ronaldo	12-Jan-23	Engenharia		Adicionado usiangem no diâmetro de 165mm.	Usinar conforme pede a revisão.	Erro.		R$ 100.00
30302	P22EAM7500		1		021.889	Desenroladeira	Engate rápido		Conjunto	01	Smurfit Kappa			Ricardo Mauda	Ronaldo	12-Jan-23	Engenharia		Aumentado quantidade da posição 14.	Conforme revisão.	Erro.		R$ 100.00
30303	P23GAM4904	01	0		020.861	Prensa úmida	Dispositivo de refrigeração rolo prensa		Flange união rotativa	02	Polpa de Madeiras	SAE1020		Herick	Ronaldo	13-Jan-23	Produção	Usin. Cilíndrica Convencional	"Pedia ajuste de Ø90mm -0,03 à -0,06 e ficou com Ø89mm."	Enxer com solda e usianr conforme desenho.	Erro.		R$ 100.00
30304	T06F-00036		1		020.854	Rolo acionador	Rolo acionador		anel defletor	02	Iguaçu			Ricardo Mauda	Ronaldo	13-Jan-23	Engenharia		Alterado furação Ø14 de 4 furos para 6 furos.	Furar peças conforme pede a revisão.	Erro.		R$ 100.00
30307	P20CBM3401	1	0		021.823	Depurador	Carcaça		Carcaça superior	01	Papelão União	AISI304L		José Josnei Pereira dos Santos	Ronaldo	16-Jan-23	Produção	Caldeiraria de Inox	Extraviu.	Nova.	Extraviu.		R$ 100.00
30308	PSC1ZM1501		1		022.024	Combisorter	Rotativo		Recuperação do rotor	01	São Carlos	AISI304		Patrick Abreu	Ronaldo	16-Jan-23	Produção	Usin. Cilíndrica Convencional	"Pedia ajsute no furo de Ø106mm 0 à +0,035mm e ficou com +0,01 a +0,10mm."	Soldar e usinar.	Erro.		R$ 100.00
30309			01		021.697	Caixa de entrada ICXH					Papelão União			Sandro	Ronaldo	16-Jan-23	Comercial		Adicionado diferença de valor da lâmina lexan mod Robaflow-PC para mod Robaflow-S + aquisição de uma lâmina fabricação CIS.	Conforme revisão.	Alteração.		R$ 100.00
30310			1		022.031	Manutenção rolo 2ª prensa MP2	Conjunto 2 ª prensa MP2		Mancais e labirintos	1	Bragagnolo			Sandro	Ronaldo	16-Jan-23	Comercial		Demais itens novos a serem considerados peças para os mancais do rolo do conjunto da 2ª prensa da MP1.	Fabricar novas peças para 1ª prensa.	Alteração da CV.		R$ 100.00
30311	P70EAM9700	1	5		010.202	Rebobiandeira	Montagem		Conjunto estrutura	01	Papelão União	Comercial		Evellyn Taianara Mello	Ronaldo	16-Jan-23	Engenharia		Alterado posição 43 de M8x60 para M8x50.	Trocar peças e devolver existente no estoque.	Erro.		R$ 100.00
30312	P20MBM1801	1	2		021.823	Depurador vertical	Mancal		Bucha de proteção do eixo	01	Papelão União	AISI304L		Daiane Pedroso Bueno	Ronaldo	16-Jan-23	Engenharia		Alterado forma construtiva para chapa calandrada.	"Nova, conforme revisão."	Erro.		R$ 100.00
30313	P20MBM1806	1	1		021.823	Depurador vertical	Mancal		Anel de encosto rolaemnto superior	01	Papelão União	SAE1020		Daiane Pedroso Bueno	Ronaldo	16-Jan-23	Engenharia		Alterado forma construtiva para chapa calandrada.	Conforme revisão.	Erro.		R$ 100.00
30314	P21VBM1600	3	0		001.947	Desagregador	Montagem		Avulsos	01	Valinhos			Cláudio Brandão	Ronaldo	16-Jan-23	Engenharia		Pediu barra roscada no desenho de conjunto e o correto é um desenho separado.	Corrigir desenho pedindo peda no desenho separado.	Erro.		R$ 100.00
30316	P10TAM6603	1	2		021.697	Caixa de entrada	Bloco de fluxo		Tubo de fluxo	156	Papelão União	AISI304L		Vagner da Silva	Ronaldo	16-Jan-23	Engenharia		Indicação da rugosidade interna do tubo  de fluxo	Erro de projeto.	Erro.		R$ 100.00
30318	P20GBM4702		2		030.055	Depurador	Manutenção depurador		Anel de fechamento	01	Novacki	AISI304L		Matheus de Souza Silva	Ronaldo	17-Jan-23	Engenharia		Alterado expessura externa de 8 para 6mm.	Conforme revisão.	Erro.		R$ 100.00
30319	P70RAM9710	1	3		010.202	Rebobinadeira	Baixador de bobinas		Jumelo do cilindro hidráulico	02	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	17-Jan-23	Engenharia		Atualização do nome e usinagem do furo de Ø40mm para Ø44mm prevendo a colocação de bucha igus.	Conforme pede a revisão.	Erro.		R$ 118.52
30320	P70RAM9700	1	4		010.202	Rebobinadeira	Montagem		Conjunto ejetor de bobinas	01	Papelão União			Willyan Carlos Melotti	Ronaldo	17-Jan-23	Engenharia		Ataualizado a posição 9 e adição de 2 buchas igus.	Conforme pede a revisão.	Erro.		R$ 100.00
30321					030.098	Eixo do transportador de esteira			Usinagem do eixo	01	Lubeck			Patrick Abreu	Ronaldo	17-Jan-23	Produção	Usin. Cilíndrica Convencional	"Pedia ajsute de Ø135,00 0 à -0,04mm e ficou com -0,06mm."	Soldar e usinar conforme pede o desenho.	Erro.		R$ 100.00
30322	P70SAM9705	1	3		010.202	Rebobinadeira	Passador de ponta		Calha inferior rolo contra faca	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	17-Jan-23	Engenharia		Adicão de tolerância.	Conforme revisão.	Erro.		R$ 198.00
30323	P70SAM9700	01	03		010.202	Rebobinadeira	Montagem		Passagem de ponta	01	Papelão União			Willyan Carlos Melotti	Ronaldo	18-Jan-23	Engenharia		"Atualização do comprimento do parafuso da posição 11 para menor, atualização da posição 5 e adição da posição faltante 19 e quantidade da posição 10."	Conforme revisão.	Erro.		R$ 402.00
30324	T06-00304		1		020.854	Rolo acionador	Rolo acionador			01	Iguaçu			Ricardo Mauda	Ronaldo	18-Jan-23	Engenharia		Alterado quantidade de furação de 4 para 6 furos.	Confome revisão.	Erro.		R$ 100.00
30325	P70NAH9720	1	2		010.202	Rebobinadeira	Instalação hidráulica		Pré pipping hidráulico	01	Papelão União	Comercial		Leonardo Kremer	Ronaldo	19-Jan-23	Engenharia		Posição 09 pediu parafuso M5x20 cabeça abauluada e o correto é cabeça escareada.	Comprar peças conforme pede a revisão.	Erro.		R$ 100.00
30326	ATG0GM0102		2		021.301	Rotor o moinho	Rotor D230		Corpo do rotor	01	Topgen	SAE1020		Anderson Cavalheiro	Ronaldo	19-Jan-23	Produção	Usin. Cilíndrica Convencional	"Diâmetro do furo pedia 50mm e ficou com 50,2mm."	Cortar peça nova e devolver existente no estoque.	Erro.		R$ 100.00
30327	P84GBM4103	01	0		001.947	Secador baby			Ponteira LA	01	Valinhos			Cícero Roberto Paz	Ronaldo	19-Jan-23	Produção	Usin. Cilíndrica Convencional	"Ficou excentrico o ajuste do encaixe da ponteira em relaçãpo a camisa. (0,20mm)"	"Corrigir, encher e reusinar."	Erro.		R$ 510.00
30328	P70SAM9705	1	4		010.202	Rebobinadeira	Passador de ponta		Calha inferior	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	19-Jan-23	Engenharia		"Alterado diâmetro do furo de 17mm para 17,5mm."	Conforme pede a revisão.	Erro.		R$ 64.00
30329	PKT1GM1431		4		021.869	Rosca transportadora	Roscas transportadoras		Reforma roscas	01	Klabin T.B.			Claudemir Bettega	Ronaldo	19-Jan-23	Produção	Montagem	Não montou a plaqueta de identificação nem a chaveta.	Montar conforme pede o desenho.	Erro.		R$ 100.00
30330	P32CAM5901	4	2		022.122	Enroladeira	Polia guia corda		Polia Ø900	01	Trombini Fraiburgo	SAE1020		Cláudio Brandão	Ronaldo	19-Jan-23	Engenharia		Revisada medidas posição 4.	Conforme revisão.	Erro.		R$ 100.00
30331	P21TAM5308		2		021.558	Desagregador vertical	Tanque		Olhal de içamento	03	Sulamericana	SAE1020		Daiane Pedroso Bueno	Ronaldo	19-Jan-23	Engenharia		Alterado quantidade era 2 mudou para 3.	Cortar mais 1 peça.	Erro.		R$ 100.00
30332	P82MAM5905	2	1		022.028	Setor secagem	Mancal 22.315		Tampa externa	02	Citroplast	EM-GJL-200		Fundição Campos Gerais	Ronaldo	19-Jan-23	Terceiros		Modelo deslocado.	Nova.	Deslocado.		R$ 100.00
30333	PAJ1DM0107		2		021.548	Blow valve DN250	Diversos		Bucha	01	Arauco	AISI430		Kyoto	Ronaldo	20-Jan-23	Terceiros		Faltou cromar as face da peça conforme pede o desenho.	Conforme desenho.	Erro.		R$ 500.00
30334	P70NAE9720	1	0		010.202	Rebobinadeira	Automação e controle		Pré pipping elétrico	01	Papelão União			Leonardo Kremer	Ronaldo	20-Jan-23	Engenharia		Pediu na posição 42 parafusos allne M5x20  e o correto é sextavado M5x10mm.	Conforme revisão.	Erro.		R$ 100.00
30335	P70FAM9703	1	3		010.202	Rebobinadeira	Fixador de tubete		Subconjunto do cursor	01	Papelão União	Comercial		Willyan Carlos Melotti	Ronaldo	20-Jan-23	Engenharia		Pediu parafuso M10x30 e o correto é M10x55mm.	Conforme revisão.	Erro.		R$ 100.00
30336	P99FIM0410	3	0		001.947	Desagregador	Rotativo		"Flange especial Ø10"""	01	Valinhos	AISI304		José Josnei Pereira dos Santos	Ronaldo	20-Jan-23	Produção	Caldeiraria de Inox	Extraviu.	Nova.	Extraviu.		R$ 100.00
30338	P70SAM9702	1	1		010.202	Rebobianadeira	Passagem de ponta		Calha superior	1	Papelão União	SAE1020		José Josnei Pereira dos Santos	Ronaldo	23-Jan-23	Produção	Caldeiraria de Carbono	Extraviu da posição 1 e 4.	Nova.	Extraviu.		R$ 100.00
30342	PMTXGM0601		10		021.449	Sistema de secagem de lodo	Batedor de lodo		Rotor interno	01	Mili	SAE1020		João Maria Carneiro	Ronaldo	25-Jan-23	Produção	Caldeiraria de Carbono	Montou invertido o cubo do rotor.	Desmontar e montar novamente conforme pede o desenho.	Erro.		R$ 122.00
30343	PAJ1DM0107		2		021.548	Blow valve	Diversos		Bucha Ø110	01	Arauco	AISI420		Kyoto	Ronaldo	25-Jan-23	Terceiros		Pedia no desenho 10 a 15 microns de cromo e ficou com 04 a 07 microns.	Conforme desenho.	Erro.		R$ 250.00
30352	PAB0ZM0101		0		030.020	Desagregador vertical	Acionamento		Eixo	01	Bragagnolo	SAE1045		José Valdemir Martins Barbosa	Ronaldo	26-Jan-23	Produção	Usin. Cilíndrica CNC	Erro de usinagem.	Soldar e usinar.	Erro.		R$ 100.00
30359			01		030.219	Serviço para adaptação chapa gravadora					Arauco			Sandro	Ronaldo	31-Jan-23	Comercial		Saiu a medida final na CV com largura de 2160mm e foi revisada deixando com 2010mm.	Conforme pede a CV.	Erro.		R$ 100.00
30362	P22TAM7402	01	01		010.202	Desenroladeira	Estrutrura		Cavalerte lado acionamento	01	Papelão União	SAE1020		Cláudio Brandão	Ronaldo	02-Feb-23	Engenharia		"Adicionado posições 17,18 e 19."	Conforme revisão.	Erro de projeto.		R$ 546.00
30363	P70PAM9755	01	03		010.202	Rebobindeira strip series	Rolo pressor		Cj esteira porta cabos	01	Papelão União			Bruno Henrique de Oliveira	Ronaldo	31-Jan-23	PCP		Solicitou esteria porta cabos FB280.50.200.1132 e o certo é FB280.50.150.1132mm.	Conforme revisão.	Erro solicitação.		R$ 297.14
30365	P18GAM0404		0		010.999	Tira trança	Tira trança		Rolete superior	01	Sulamericana	EM-GJS-400-15		Fundimax	Ronaldo	01-Feb-23	Terceiros		Erro de fundição.	Usinar com 52mm e colocar espaçador.	Erro.		R$ 100.00
30368	P50EAM2401	01	0		010.333	Lump breaker	Estrutura		Suporte articulado braço lado acionamento	01	HP Pápeis	SAE1020		João Maria Carneiro	Ronaldo	02-Feb-20	Produção	Caldeiraria de Carbono	montou peça do lado errado.	Montar conforme desenho.	Erro.		R$ 161.00
30369	P21RAM0612		01		021.758	Desagregador vertical	Cj manutenção rotor	2083	Bucha de desgastes	01	Cobap	AISI304		Matheus de Souza Silva	Ronaldo	01-Feb-23	Engenharia		Faltou indicar nitretação na peça.	Revisar.	Erro.		R$ 100.00
30370	PNS1ZM0544	01	01		021.587	Válvula rotativa			Carcaça	01	B.O Paper			Permat	Ronaldo	02-Feb-23	Terceiros		Camisa chegou 12mm ovalizada.	Corrigir.	Erro.		R$ 500.00
30372	P22EAM7400	01	03		010.202	Desenroladeira	Montagem		Engate rápido	01	Papelão União			Cláudio Brandão	Ronaldo	03-Feb-23	Engenharia		Alterado posição 21 e 32 e adicionado posição 33.	Conforme revisão.	Alteração.		R$ 300.00
30373	P70SAM9702	01	02		010.202	Rebobinadeira	Passagem de ponta		Calha superior	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	03-Feb-23	Engenharia		"Adição de chapas posição 6,7 e 8. Modificação da chapa posição 5."	Conforme pede a revisão.	Erro.		R$ 170.00
303730	P34GAM6635	1	1		010.889	Cilindro baby dryer	Acionamento		Placa de fundação	02	Citroplast	SAE1020		Cláudio Brandão	Ronaldo	18-Apr-23	Engenharia		Revisado disposição dos furos.	Fabricar peça conforme pede a revisão.	Erro.		R$ 100.00
30374	P70PAM9755	1	4		010.202	Rebobinadeira	Rolo pressor		Conjunto estrutura porta cabos	01	Papelão União			Willyan Carlos Melotti	Ronaldo	06-Feb-23	Engenharia		Atualização do comprimento do porta cabos.	Conforme revisão.	Erro.		R$ 100.00
30375	PMT1ZM0307	01	02		020.952	Compactador de rejeitos	Tubulações		Tubulação cônica	01	Mili	AISI304		Mário Dolato Neto	Ronaldo	06-Feb-23	Engenharia		Retirado nota de furação equidistante.	Conforme revisão.	Erro.		R$ 100.00
30376	P22EAM7301	1	1		010.202	Desenroladeira	Engate rápido		Suporte esquerdo braço	01	Papelão União	SAE1020		Cláudio Brandão	Ronaldo	06-Feb-23	Engenharia		Alterado comprimento posição 3 de 100/85mm.	Pede revisão.	Erro.		R$ 145.00
30377	P22EAM7302	01	01		010.202	Desenroladeira	Engate rápido		Suporte direito braço articulado	01	Papelão União	SAE1020		Cláudio Brandão	Ronaldo	06-Feb-23	Engenharia		Alterado comprimento das posição 3.	Conforme revisão.	Erro.		R$ 100.00
30378	P70EAM9703	01	07		010.202	Rebobiandeira strip series	Estrutura		Travessa dos suporte de faca	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	06-Feb-23	Engenharia		Atualização de cotas de referência para usinagem.	Conforme revisão.	Erro.		R$ 100.00
30379	P50EAM2404	01	01		010.333	Lump breaker	Estrutura		Braço lado acionamento	01	HP Pápeis	SAE1020		José Israel	Ronaldo	06-Feb-23	Engenharia		Acrescentado rosca de fixação do batente dos sensores de posicionamento.	Conforme revisão.	Erro.		R$ 100.00
30380	P50EAM2403	1	1		010.333	Lump breaker	Estrutura		Braço lado comando	01	HP Papéis	SAE1020		José Israel	Ronaldo	06-Feb-23	Engenharia		Acrescentado rosca de fixação do batente dos sensores de posicionamento.	Conforme revisão.	Erro.		R$ 100.00
30381	P50EAM2402	1	1		010.333	Lump breaker	Estrutura		Suporte articulado LC	01	HP Papéis	SAE1020		José Israel	Ronaldo	06-Feb-23	Engenharia		Acrescentado rosca para fixação do suporte de sensores de posicionamento.	Conforme revisão.	Erro.		R$ 100.00
30382	P50EAM2401	1	1		010.333	Lump breaker	Estrutura		Suporte articulado	01	HP Papéis	SAE1020		José Israel	Ronaldo	06-Feb-23	Engenharia		Acrescentado roscas para fixação dos sensores de posicionamento.	Conforme revisão.	Erro.		R$ 100.00
30383	P22EAM7400	1	4		010.202	Desenroladeira	Montagem		Engate rápido	01	Papelão União	SAE1020		Cláudio Brandão	Ronaldo	06-Feb-23	Engenharia		"Acrescentado posição 34, alteração da posição 22 e revisado posição 1 e 2."	Conforme revisão.	Erro.		R$ 150.00
30384	P50EAM2400	1	1		010.333	Lump breaker	Estrutura		Conjunto montagem	01	HP Papéis	SAE1020		José Israel	Ronaldo	06-Feb-23	Engenharia		"Revisado posições 11,12,13 e 14, acrescentados posições do 28 a 35 para complemento do projeto devido acrescimo dos sensores de posicionamento dos braços."	Conforme revisão.	Erro.		R$ 100.00
30385	P73GAM2713	3	0		001.947	Pós secagem	Raspa oscilante superiror		Suporte LA	01	Valinhos	SAE1020		João Maria Carneiro	Ronaldo	07-Feb-23	Produção	Caldeiraria de Carbono	Montou invertido a peça posição 6 e 7 do que pede desenho.	Cortar peças e montar conforme pede desenho.	Erro.		R$ 161.00
30386	PCP1ZM0421		0		021.987	Diversos	Digestor		Suporte da chapa perfurada	01	Cocelpa	EM-GJL-200		Edison André Ferreira Diniz	Ronaldo	08-Feb-23	Produção	Usin. Cilíndrica Convencional	"Pediu nio desenho ajuste interno de Ø140mm -0,10 à -0,20 e ficou +0,012."	Enviar peça com essa medida.	Erro.		R$ 100.00
30387	P22RAM6627	1	2		030.112	Desenroladeira	Rotativo LC		Tampa externa	01	VH Paper	SAE1020		André	Ronaldo	08-Feb-23	Produção	Usin. Cilíndrica Convencional	"Pedia no desenho encosto da tmpa com 21,5 -0,05 à -0,10 e ficou com 20,9mm."	Nova.	Erro.		R$ 100.00
30388	P70SAM7974	01	0		020.552	Rebobinadeira	Puxador de ponta	MI 2329	Castanha	04	Sonoco	EM-GJL-250		Claudio Bettega	Ronaldo	21-Mar-23	Produção	Usin. Cilíndrica Convencional	Fiocu 1mm menor no diâmetro externo.	Nova.	Erro.		R$ 100.00
30390	P32CAM5901	4	4		022.122	Enroladeira	Polia guia corda		Polia Ø900	01	Trombini FR	SAE1020		Cláudio Brandão	Ronaldo	08-Feb-23	Engenharia		Acrescentado balanceamento.	Conforme desenho.	Erro.		R$ 100.00
30391	P70CAM9700	1	4		010.202	Rebobinadeira	Montagem		Conjunto módulo de corte	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	08-Feb-23	Engenharia		"Adição de um novo sitema de captação de refile LA e LC, atualização da posição dos suportes de faca. Alteração da quantidade de parafusos posição 11."	Conforme revisão.	Erro.		R$ 100.00
